12/08/2021,19:24:05,Europe/London,Pre-approved Payment Bill User Payment,GBP,-9.99,0.00,-9.99,-9.99,1NN45891MA842380S,premium-gbp@spotify.com,Spotify AB,,,0.00,0.00,P166A693C5,B-62G64018SH768960T
12/08/2021,19:24:05,Europe/London,Bank Deposit to PP Account,GBP,9.99,0.00,9.99,0.00,06A82972HA7506509,,,Bank of Scotland plc,7160,0.00,0.00,P166A693C5,1NN45891MA842380S
18/08/2021,09:15:36,Europe/London,Express Checkout Payment,GBP,-229.95,0.00,-229.95,-229.95,7KJ45579WF121081C,sales@mpbphotographic.co.uk,MPB Europe Limited,,,0.00,0.00,4253643,0C88093311362515S
18/08/2021,09:15:36,Europe/London,Bank Deposit to PP Account,GBP,229.95,0.00,229.95,0.00,4PR04557JN156315D,,,Bank of Scotland plc,7160,0.00,0.00,4253643,7KJ45579WF121081C
19/08/2021,12:22:36,Europe/London,Express Checkout Payment,GBP,-99.18,0.00,-99.18,-99.18,0KR98478HG3796224,paypalaccommodations@booking.com,Booking.com BV,,,0.00,0.00,4756293721390482,
19/08/2021,12:22:36,Europe/London,Bank Deposit to PP Account,GBP,99.18,0.00,99.18,0.00,4DD53272ER221601S,,,Bank of Scotland plc,7160,0.00,0.00,4756293721390482,0KR98478HG3796224
20/08/2021,16:10:39,Europe/London,Express Checkout Payment,GBP,-111.58,0.00,-111.58,-111.58,4VB31227WS658763X,paypalaccommodations@booking.com,Booking.com BV,,,0.00,0.00,1659294721964221,
20/08/2021,16:10:39,Europe/London,Bank Deposit to PP Account,GBP,111.58,0.00,111.58,0.00,2LU89209S5465732L,,,Bank of Scotland plc,7160,0.00,0.00,1659294721964221,4VB31227WS658763X
20/08/2021,16:46:13,Europe/London,Express Checkout Payment,GBP,-335.98,0.00,-335.98,-335.98,06C58937FC416343E,paypal@cvp.com,Creative Video Productions Ltd.,,,0.00,0.00,3086061,
20/08/2021,16:46:13,Europe/London,Bank Deposit to PP Account,GBP,335.98,0.00,335.98,0.00,5L942949PX5629044,,,Bank of Scotland plc,7160,0.00,0.00,3086061,06C58937FC416343E
22/08/2021,14:29:01,Europe/London,Pre-approved Payment Bill User Payment,GBP,-37.43,0.00,-37.43,-37.43,6XT86627NK542721U,epochrow_gbp@epoch.com,epoch.com,,,0.00,0.00,1299004736/MemberID : 2264863946,2K365831F6115150H
22/08/2021,14:29:01,Europe/London,Bank Deposit to PP Account,GBP,37.43,0.00,37.43,0.00,81994232MS805013H,,,Bank of Scotland plc,7160,0.00,0.00,1299004736/MemberID : 2264863946,6XT86627NK542721U
24/08/2021,09:28:30,Europe/London,Express Checkout Payment,GBP,-344.95,0.00,-344.95,-344.95,4AL6454305447452F,sales@mpbphotographic.co.uk,MPB Europe Limited,,,0.00,0.00,4267454,4B019223K35253629
24/08/2021,09:28:30,Europe/London,Bank Deposit to PP Account,GBP,344.95,0.00,344.95,0.00,463076910W042424X,,,Bank of Scotland plc,7160,0.00,0.00,4267454,4AL6454305447452F
