03/02/2022,12:50:12,Europe/London,Express Checkout Payment,GBP,-89.99,0.00,-89.99,-89.99,8AF249825Y0900528,PhilipsHue-Paypal@luzernsolutions.com,LUZERN ECOMMERCE LTD,,,0.00,0.00,PHGB9000093168,
03/02/2022,12:50:12,Europe/London,Bank Deposit to PP Account,GBP,89.99,0.00,89.99,0.00,8PM79304E3521115K,,,Bank of Scotland plc,7160,0.00,0.00,PHGB9000093168,8AF249825Y0900528
03/02/2022,19:12:14,Europe/London,Express Checkout Payment,GBP,"-1,508.40",0.00,"-1,508.40","-1,508.40",4D0921988Y4805548,rcjf@astonandfincher.co.uk,Aston & Fincher,,,0.00,0.00,1000146608,
03/02/2022,19:12:14,Europe/London,Bank Deposit to PP Account,GBP,"1,508.40",0.00,"1,508.40",0.00,2UY6934638414690G,,,Bank of Scotland plc,7160,0.00,0.00,1000146608,4D0921988Y4805548
06/02/2022,00:38:11,Europe/London,Pre-approved Payment Bill User Payment,GBP,-377.57,0.00,-377.57,-377.57,2J292502DX838070J,paypal-ads-ireland3@fb.com,Facebook,,,0.00,0.00,P4697462283699645,B-4XW44054NP5542146
06/02/2022,00:38:11,Europe/London,Bank Deposit to PP Account,GBP,377.57,0.00,377.57,0.00,4FR49676FC014151N,,,Bank of Scotland plc,7160,0.00,0.00,P4697462283699645,2J292502DX838070J
06/02/2022,13:13:57,Europe/London,Pre-approved Payment Bill User Payment,GBP,-9.99,0.00,-9.99,-9.99,7HX61478KL531194W,premium-gbp@spotify.com,Spotify AB,,,0.00,0.00,P19AA6D502,B-37K37589RN914044V
06/02/2022,13:13:57,Europe/London,Bank Deposit to PP Account,GBP,9.99,0.00,9.99,0.00,1D759370GR251630N,,,Bank of Scotland plc,7160,0.00,0.00,P19AA6D502,7HX61478KL531194W
09/02/2022,12:16:20,Europe/London,Express Checkout Payment,GBP,-444.00,0.00,-444.00,-444.00,90519255B1696030U,sales@salonsdirect.co.uk,Salons Direct Ltd,,,0.00,0.00,2000930671,
09/02/2022,12:16:20,Europe/London,Bank Deposit to PP Account,GBP,444.00,0.00,444.00,0.00,9YD64740301736458,,,Bank of Scotland plc,7160,0.00,0.00,2000930671,90519255B1696030U
12/02/2022,18:24:03,Europe/London,Pre-approved Payment Bill User Payment,GBP,-9.99,0.00,-9.99,-9.99,8TG643873R029993B,premium-gbp@spotify.com,Spotify AB,,,0.00,0.00,P19C4E7B48,B-62G64018SH768960T
12/02/2022,18:24:03,Europe/London,Bank Deposit to PP Account,GBP,9.99,0.00,9.99,0.00,1SH01761K7790460V,,,Bank of Scotland plc,7160,0.00,0.00,P19C4E7B48,8TG643873R029993B
15/02/2022,00:10:27,Europe/London,Express Checkout Payment,GBP,-479.00,0.00,-479.00,-479.00,4L41617572304303K,paypal@fairdealmusic.com,Fairdeal Music Limited,,,0.00,0.00,c32453053153505.1,
15/02/2022,00:10:27,Europe/London,Bank Deposit to PP Account,GBP,479.00,0.00,479.00,0.00,0A822750SB4182150,,,Bank of Scotland plc,7160,0.00,0.00,c32453053153505.1,4L41617572304303K
18/02/2022,09:38:02,Europe/London,Express Checkout Payment,GBP,-720.00,0.00,-720.00,-720.00,45M03899H0041404G,sales@gompels.co.uk,Gompels HealthCare Ltd,,,0.00,0.00,,
18/02/2022,09:38:02,Europe/London,Bank Deposit to PP Account,GBP,720.00,0.00,720.00,0.00,57F48185NG869344F,,,Bank of Scotland plc,7160,0.00,0.00,,45M03899H0041404G
22/02/2022,14:14:19,Europe/London,Pre-approved Payment Bill User Payment,GBP,-39.00,0.00,-39.00,-39.00,0JT03368GW658233L,epochrow_gbp@epoch.com,epoch.com,,,0.00,0.00,1331491150/MemberID : 2264863946,0V9149388U102035L
22/02/2022,14:14:19,Europe/London,Bank Deposit to PP Account,GBP,39.00,0.00,39.00,0.00,8EY9489949352012G,,,Bank of Scotland plc,7160,0.00,0.00,1331491150/MemberID : 2264863946,0JT03368GW658233L
25/02/2022,11:23:43,Europe/London,Express Checkout Payment,GBP,-150.00,0.00,-150.00,-150.00,38K47799A4889411D,ecom.paypal@toolstation.com,Toolstation Limited,,,0.00,0.00,QWW930529259,
25/02/2022,11:23:43,Europe/London,Bank Deposit to PP Account,GBP,150.00,0.00,150.00,0.00,82W0230329199350W,,,Bank of Scotland plc,7160,0.00,0.00,QWW930529259,38K47799A4889411D
25/02/2022,11:42:17,Europe/London,Express Checkout Payment,GBP,-50.97,0.00,-50.97,-50.97,106233296R578683T,PhilipsHue-Paypal@luzernsolutions.com,LUZERN ECOMMERCE LTD,,,0.00,0.00,PHGB9000100597,
25/02/2022,11:42:17,Europe/London,Bank Deposit to PP Account,GBP,50.97,0.00,50.97,0.00,5EK79640NE150753U,,,Bank of Scotland plc,7160,0.00,0.00,PHGB9000100597,106233296R578683T
